
C:\Users\matias.araya.cohen\Documents\ITAU-ConsolodicacionDeSistemas\server-discovery>netstat -no 

Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.238.124:50646  162.247.242.20:443     ESTABLISHED     3792
  TCP    192.168.238.124:50648  54.204.38.237:443      ESTABLISHED     3792
  TCP    192.168.238.124:50656  192.16.58.186:443      ESTABLISHED     3792
  TCP    192.168.238.124:50660  23.12.119.214:443      ESTABLISHED     3792
  TCP    192.168.238.124:50662  23.3.248.37:443        ESTABLISHED     3792
  TCP    192.168.238.124:50669  34.225.237.4:443       TIME_WAIT       0
  TCP    192.168.238.124:50672  34.225.237.4:443       TIME_WAIT       0
  TCP    192.168.238.124:50673  38.106.34.101:443      TIME_WAIT       0
  TCP    192.168.238.124:50676  38.106.34.101:443      TIME_WAIT       0
  TCP    192.168.238.124:50678  72.21.206.140:443      TIME_WAIT       0
  TCP    192.168.238.124:50679  72.21.206.140:443      TIME_WAIT       0
  TCP    192.168.238.124:50681  8.41.222.241:443       TIME_WAIT       0
  TCP    192.168.238.124:50683  8.41.222.241:443       TIME_WAIT       0
  TCP    192.168.238.124:50689  69.20.20.4:443         TIME_WAIT       0
  TCP    192.168.238.124:50691  69.20.20.4:443         TIME_WAIT       0
  TCP    192.168.238.124:50692  69.20.20.4:443         TIME_WAIT       0
  TCP    192.168.238.124:50709  40.103.5.86:443        TIME_WAIT       0
  TCP    192.168.238.124:50720  34.225.237.4:443       TIME_WAIT       0
  TCP    192.168.238.124:50722  34.225.237.4:443       TIME_WAIT       0
  TCP    192.168.238.124:50724  38.106.34.101:443      TIME_WAIT       0
  TCP    192.168.238.124:50726  38.106.34.101:443      TIME_WAIT       0
  TCP    192.168.238.124:50728  72.21.206.140:443      TIME_WAIT       0
  TCP    192.168.238.124:50732  8.41.222.241:443       TIME_WAIT       0
